Satis Elemani Kodu;Код Контрагента;Контрагент;Ziyaret Gunu
JD0104;120.01.102.0117;FAZLIDDIN-ABDULLOH BIZNES OOO;Cuma
JD0104;120.01.102.0071;FERUZXON DURDONASI MCHJ;Cuma
JD0104;120.01.102.0151;GENERAL MAXIMUS STAR MCHJ;Cuma
JD0104;120.01.102.0095;GLOBE MART XK;Cuma
JD0104;120.01.102.0083;GOFURJON BARAKALI BIZNES MCHJ;Cuma
JD0104;120.01.102.0021;GOFURJON BEK MCHJ;Cuma
JD0104;120.01.102.0007;IBRAGIMOV BEGZOD R YATT;Cuma
JD0104;120.01.102.0031;IBROHIM FAYZ BARAKA SAVDO MCHJ;Cuma
JD0104;120.01.102.0334;INTELLEKT BEST MCHJ;Cuma
JD0104;120.01.102.0023;INTIL SAVDO MCHJ;Cuma
JD0104;120.01.102.0008;IRNAZAROV UMAR T YATT;Cuma
JD0104;120.01.102.0339;ISAMUXAMEDOV ASROR YAKUB OGLI;Cuma
JD0104;120.01.102.0341;ISHMATOVA NIGORA UKTAMBAYEVNA YATT;Cuma
JD0104;120.01.102.0126;ISMOILOV DILSHODJON ISROIL;Cuma
JD0104;120.01.102.0123;JAMSHIDBEK-NIGORA PANPU MCHJ;Cuma
JD0104;120.01.102.0116;KARIMDJANOV ASADJAN I YATT;Cuma
JD0104;120.01.100.0018;KASIMOVA XOLIDA ABIDOVNA (15 08) / (XAYDAROVA SHAXZODA F. YATT);Cuma
JD0104;120.01.102.0312;KESH SHUMQORI XONDAMIR MCHJ;Cuma
JD0104;120.01.102.0032;KO'XNA KESH SAVDO MCHJ;Cuma
JD0104;120.01.100.0030;KOZIM NOZIM BUSINESS;Cuma
JD0104;120.01.102.0010;KUCHKAROV JASUR NARIMON OGLI;Cuma
JD0104;120.01.102.0142;LA QOBIL XK;Cuma
JD0104;120.01.100.0060;LOGUN T.A. YATT;Cuma
JD0104;120.01.102.0027;M RIZO SAVDO MCHJ;Cuma
JD0104;120.01.102.0321;MARKET MASSIVV XK;Cuma
JD0104;120.01.100.0027;MATMUSAYEVA D.A. YATT;Cuma
JD0104;120.01.102.0296;MAXAMMATOV ORIFJON I YATT;Cuma
JD0104;120.01.102.0115;MAXKAMBEK SERVIS XK;Cuma
JD0104;120.01.102.0324;MCHJ INVEST KAPITAL PARTNERSHIP;Cuma
JD0104;120.01.100.0048;MCHJ NAFISA MARKET;Cuma
JD0104;120.01.102.0305;MERUM KAPITAL;Cuma
JD0104;120.01.102.0121;MF FAYZ MARKET MCHJ;Cuma
JD0104;120.01.102.0205;MIRJAMOL QIZI ODINAXON MCHJ;Cuma
JD0104;120.01.102.0107;MIROLIMOV Y N YATT;Cuma
JD0104;120.01.102.0145;MIRSAGATOVA RANO K YATT;Cuma
JD0104;120.01.100.0031;MIRZAYEVA FERUZA ESHMAMATOVNA;Cuma
JD0104;120.10.111.0114;MUHAMMAD SOLIH BARAKA OK;Cuma
JD0104;120.01.102.0202;MUSSAF GROUP MARKET;Cuma
JD0104;120.01.102.0332;MUYDINOVA FOTIMA SHUXRAT QIZI;Cuma
JD0104;120.01.102.0041;NADILGULNOZ MCHJ;Cuma
JD0104;120.01.102.0088;NAZOKAT ONA BUSINESS MCHJ;Cuma
JD0104;120.01.102.0293;NIYAZOVA XABIBA NAZAROVNA YTT;Cuma
JD0104;120.01.100.0029;NODIRBEK NIZOMJON BIZNES MCHJ;Cuma
JD0104;120.01.102.0040;NORMANOV A.K YATT;Cuma
JD0104;120.01.102.0222;NOSIROV ZUXRIDDIN XUSNIDDIN OGLI YATT;Cuma
JD0104;120.01.102.0128;NUMANOVA MAKTUBA I YATT;Cuma
JD0104;120.01.102.0094;NURMATOV ULUGBEK SUYUNOVICH YATT;Cuma
JD0104;120.01.208.0066;NURMATOVA ZAMIRA K YATT;Cuma
JD0104;120.01.102.0204;NUROR TEX BUSINESS OK;Cuma
JD0104;120.01.102.0331;OLMOS FAYZ MAKONI;Cuma
JD0104;120.01.102.0130;OPTOM MARKET ANTEY OOO;Cuma
JD0104;120.01.102.0338;PERMUXAMEDOV BILOL BAXROM OGLI;Cuma
JD0104;120.01.102.0186;QAYRAGOCH BUSINESS MCHJ;Cuma
JD0104;120.01.102.0180;QOBILJONOV ILHOMJON ODILJON O'G'LI YaTT (ABDUGAFUROV A.N 06 07);Cuma
JD0104;120.01.102.0315;QOSIMOV MIRZAXMAD BOYSAFAR OGLI;Cuma
JD0104;120.01.102.0108;RAHMATULLAYEVA FAYOZA TOLIBJON QIZI YATT;Cuma
JD0104;120.01.102.0295;RASULBEKOV RINAT I YATT;Cuma
JD0104;120.01.102.0199;RAXIMOVA NIGORA XASANOVNA;Cuma
JD0104;120.01.102.0320;RAXMONBERDI SERVICE MCHJ;Cuma
JD0104;120.01.102.0330;RAYIM OTA DOKONI OK;Cuma
JD0104;120.01.102.0110;SA-BOB MCHJ;Cuma
JD0104;120.01.102.0044;SAIDKOMOL SAVDO 571 (31 01) / XUDJAEV SAIDIKROM S YATT;Cuma
JD0104;120.01.102.0113;SHAMS CO GROUP MCHJ;Cuma
JD0104;120.01.102.0327;SHARAF XUDAYBERGANOV ALLABERGANOVICH;Cuma
JD0104;120.01.100.0026;SHOH PARI KORXONASI YATT;Cuma
JD0104;120.01.102.0046;SHUKUROVA AZIZA B YATT;Cuma
JD0104;120.01.102.0153;SILVER FAMILY SHOP MCHJ;Cuma
JD0104;120.01.102.0319;SOLIXAXON-EZOZAXON MCHJ;Cuma
JD0104;120.01.102.0054;SUYUNOVA MOHIGUL D YATT;Cuma
JD0104;120.01.102.0196;TABIIY TOZA TUXUM;Cuma
JD0104;120.01.102.0194;TALIPOV SUNNATBEK NURSAIDOVICH YATT;Cuma
JD0104;120.01.100.0017;TAM SAVDO MCHJ;Cuma
JD0104;120.01.102.0082;TOLYAGANXODJAEVA SHAXNOZA G YATT;Cuma
JD0104;120.01.102.0154;TOSHKENT SOF MEBEL MCHJ;Cuma
JD0104;120.01.102.0203;TULYAGANXODJAYEVA MAFTUNAXON IKROMJON QIZI;Cuma
JD0104;120.01.102.0120;TURABAYEVA AZIZA A YTT;Cuma
JD0104;120.01.102.0201;TUYCHIYEV G`IYOS ABN;Cuma
JD0104;120.01.102.0286;UMAROV A.M YATT;Cuma
JD0104;120.01.102.0074;VAXIDOV IXTIYOR KABILDJAN OGLI;Cuma
JD0104;120.01.102.0630;VAZIRA BIZNES MCHJ 1;Cuma
JD0104;120.01.102.0314;XASANBOY SALES SERVICE MCHJ;Cuma
JD0104;120.01.102.0313;XOLBOBOYEV FAZLIDDIN XAZRATKULOVICH;Cuma
JD0104;120.01.102.0328;XOLDOR YUSUPBEKOVICH BARATOV;Cuma
JD0104;120.01.102.0159;XOLMUMINOVA FERUZA MUXAMMADIYEVNA;Cuma
JD0104;120.01.102.0237;XUDAYBERDIYEV AZIZJON TOYIR OGLI;Cuma
JD0104;120.01.100.0050;YANGILIK PLUS MCHJ;Cuma
JD0104;120.01.102.0223;YASIN BUSINESS MBU MCHJ;Cuma
JD0104;120.01.102.0323;YATT KADIROV BOXODIR ALISHEROVICH ;Cuma
JD0104;120.01.102.0292;YATT SHARIPOVA MADINA O'KTAMOVNA ;Cuma
JD0104;120.01.102.0326;YATT SIMONYAN SABINA MARATOVNA;Cuma
JD0104;120.01.100.0028;YATT YUNUSOVA MAXSUDA TURSUNOVNA;Cuma
JD0104;120.01.102.0289;YUSUPJONOV ISLOMJON TOHIRJON.YATT;Cuma
JD0104;120.10.108.0616;GOLDEN FISH GROUP;Cuma
JD0104;120.01.104.0438;ABIDOV MX YATT;Cuma
JD0104;120.01.102.0005;GREEN PARK`S MARKET.MCHJ;Cuma
JD0104;120.01.102.0285;ATXAMJON FAYZ MCHJ;Cuma
JD0104;120.01.102.0006;BARNO KAPITAL XK;Cuma
JD0104;120.01.100.0012;DIYORA-MUMTOZ BEGIM MCHJ;Cuma
JD0104;120.01.102.0009;ISMATULLO OTA MCHJ;Cuma
JD0104;120.01.100.0013;NAFISA MUXAMMADJON SAVDO XK;Cuma
JD0104;120.01.100.0014;ULUGBEK ASL SAVDO MCHJ;Cuma
JD0104;120.01.102.0014;FARXOD SHIRIN SAVDO CHF;Cuma
JD0104;120.01.102.0016;ISLAMOVA DILORA YATT;Cuma
JD0104;120.01.102.0018;YAYPANFOOD OK.;Cuma
JD0104;120.01.102.0019;AZAM OTA MCHJ;Cuma
JD0104;120.01.102.0020;FAYZ PLUS SAVDO MCHJ;Cuma
JD0104;120.01.102.0024;JASORAT BARAKA BIZNES MCHJ;Cuma
JD0104;120.01.102.0026;LANDSCAPE OF GOLDEN VALLEY MCHJ;Cuma
JD0104;120.01.102.0028;MURODU MAQSAD MCHJ;Cuma
JD0104;120.01.102.0626;NODIR NOSIR 1 MCHJ;Cuma
JD0104;120.01.102.0627;NODIR NOSIR 2. .MCHJ;Cuma
JD0104;120.01.102.0029;BUNYODBEK ZAMON (06 10) / PANOX MCHJ;Cuma
JD0104;120.01.102.0030;QURUVCHI REAL SAVDO MCHJ;Cuma
JD0104;120.01.102.0033;RAXIMOVA NIGINA Z YATT;Cuma
JD0104;120.01.102.0036;FREE WAY TRADE (28 03) / ISHONCH KUCH SAVDO MCHJ 2;Cuma
JD0104;120.01.102.0038;BEST MEGA SEVINCH MCHJ;Cuma
JD0104;120.01.102.0042;SADIKOV NURMAT E YATT;Cuma
JD0104;120.01.102.0045;SHONAZAROV IBROXIM M YATT;Cuma
JD0104;120.01.102.0047;TRI KOLODETS (22 09) / (YUNUS AVTO MCHJ);Cuma
JD0104;120.01.102.0638;YUNUSBEK BIZNES MCHJ;Cuma
JD0104;120.01.102.0051;NIGMETOVA MAVJUDA M YATT;Cuma
JD0104;120.01.100.0042;START FAMILY MCHJ;Cuma
JD0104;120.01.102.0055;MUNAVVAR BARAKA GROUP MCHJ;Cuma
JD0104;120.01.100.0019;DANOBEK (29 08) / (DUSEBAEVA XULKAR R YATT);Cuma
JD0104;120.01.100.0020;MAMIROV DILMUROD M YATT;Cuma
JD0104;120.01.102.0060;SHARQ SAVDO YULDUZI;Cuma
JD0104;120.01.102.0061;AXMEDOVA MUKADDAS R YATT;Cuma
JD0104;120.01.102.0062;URUNOV TOXIRJON T YATT;Cuma
JD0104;120.01.102.0063;ASADOV A.I YATT;Cuma
JD0104;120.01.102.0064;KASIMOV TRADE GROUP MCHJ;Cuma
JD0104;120.01.102.0067;ZUFAROV DONIYOR X YATT;Cuma
JD0104;120.01.102.0068;SALIXODJAYEVA NARGIZA E YATT;Cuma
JD0104;120.01.102.0070;SHAXZODABONU BIZNES MCHJ;Cuma
JD0104;120.01.102.0076;OGABEK FARM MCHJ;Cuma
JD0104;120.01.102.0077;XUSHVAKTOVA XABIBA E XK;Cuma
JD0104;120.01.102.0078;SHOUSMON OTA XK;Cuma
JD0104;120.01.100.0021;PALMA IN GOLDS MCHJ;Cuma
JD0104;120.01.100.0022;XUDOYKULOVA MUYASSAR X YATT;Cuma
JD0104;120.01.100.0023;FARTUNE CLASS MCHJ;Cuma
JD0104;120.01.102.0086;OBID VA NILUFAR;Cuma
JD0104;120.01.100.0043;ILNUR SUERTE OK;Cuma
JD0104;120.01.102.0087;S AND G DESIGN MCHJ;Cuma
JD0104;120.01.102.0090;SHOVKATOV SHAXBOZ B YATT;Cuma
JD0104;120.01.102.0092;SERVER PRO MCHJ;Cuma
JD0104;120.01.102.0093;YULDASHEV MUXAMMAD MAXAMADALIYEVCH YATT;Cuma
JD0104;120.01.102.0096;SAMATOVA ZARNIGOR ANVAR QIZI (29 08) / (BREND MARKET PRO MCHJ);Cuma
JD0104;120.01.102.0097;MAJESTIC CONSULTOR GOLD PORT (21 10) / (USMONOV BAXTIYOR F YATT);Cuma
JD0104;120.01.100.0024;ILXOM PRODUСTION MCHJ;Cuma
JD0104;120.01.102.0099;IXLOS FARM MCHJ;Cuma
JD0104;120.01.102.0661;SADIYA SOLIHA BIZNES GROUP MCHJ;Cuma
JD0104;120.01.102.0101;KARSHIEVA GUZAL YATT;Cuma
JD0104;120.01.102.0102;FARHOD-SAVDO-BIZNES;Cuma
JD0104;120.01.102.0103;SAYF PAINT MARKET MCHJ (JAMOLOV SAYFUDDIN);Cuma
JD0104;120.01.102.0104;KAMALOV ANVAR F YATT;Cuma
JD0104;120.01.102.0106;XAMZA SAVDO MCHJ;Cuma
JD0104;120.01.102.0111;MOYNOQ SAXOVAT;Cuma
JD0104;120.01.102.0118;ARTIKBAYEVA ZIYODA IXTIYOR YTT;Cuma
JD0104;120.01.102.0122;RAXIMOV KAMOLIDDIN MUXTOROVICH (04 03) / MUXTOR IMKANA BUSINESS MCHJ;Cuma
JD0104;120.01.102.0124;ABDURAZAKOV SANJAR GAFUROVICH;Cuma
JD0104;120.01.102.0131;OLBERGROUPRUS MCHJ;Cuma
JD0104;120.01.102.0132;BIZNES SAVDO OOO;Cuma
JD0104;120.01.102.0133;MURENA SERVISE MCHJ;Cuma
JD0104;120.01.102.0135;JUMANOVA ARZIGUL R YATT;Cuma
JD0104;120.01.102.0137;AKMALOV LAZIZJON R YATT;Cuma
JD0104;120.01.102.0138;BOLTABAYEV DAVRON K YATT;Cuma
JD0104;120.01.102.0139;ZARIFA BIZNES YAKUBOVNA OK;Cuma
JD0104;120.01.102.0140;MUXSUM KARVON MCHJ;Cuma
JD0104;120.01.102.0144;NURLI OBIDJON OTA SAVDO;Cuma
JD0104;120.01.102.0300;RIZAMOV D.D YATT;Cuma
JD0104;120.01.100.0046;KARINA DAVRON TREYD MCHJ;Cuma
JD0104;120.01.102.0147;BIZNES ANALYTIC MCHJ;Cuma
JD0104;120.01.102.0148;DAMINOV ESHMUROD TURSUNPOLATOVICH OK;Cuma
JD0104;120.01.102.0302;USMONOV BIZNES SAVDO 1996 MCHJ;Cuma
JD0104;120.01.102.0303;BOBOMIRZAYEVA SHODIYONA HUSNIDDIN QIZI YATT;Cuma
JD0104;120.01.102.0304;TUXMIRZAYEVA IZZAT XXX YATT;Cuma
JD0104;120.01.102.0157;NURULLAYEV TOLIBAY SULTANOVICH;Cuma
JD0104;120.01.102.0158;BADALOV ABDUJALIL ABDUGAFUROVICH.YATT;Cuma
JD0104;120.01.102.0193;OGABEK BUSINESS;Cuma
JD0104;120.01.102.0162;XURRAMOVA NILUFAR FAXRIDDINOVNA;Cuma
JD0104;120.01.102.0306;OLMAZ MONTAJ MCHJ;Cuma
JD0104;120.01.102.0307;PASTDIKTOR;Cuma
JD0104;120.01.102.0309;MARINOVAL-DVOR;Cuma
JD0104;120.01.100.0063;JASMINA BREND CITY;Cuma
JD0104;120.01.102.0200;ILHOM IKROM IMPERIUM;Cuma
JD0104;120.01.102.0316;KOMILA ABDUMANNOP;Cuma
JD0104;120.01.102.0317;RAXMATULLOYEV ISLOM HAKIMBOY O‘G‘LI;Cuma
JD0104;120.01.102.0294;AMIROVA MOHINISO NUFTILLO YTT;Cuma
JD0104;120.01.102.0681;SH M START BARAKA XK;Cuma
JD0104;120.01.102.0318;SARVAR SAIDABRAMOV SAITMUROD OGLI;Cuma
JD0104;120.01.102.0250;BIZNES UNITED OOO;Cuma
JD0104;120.01.102.0209; MAGAZ-OK OK;Cuma
JD0104;120.01.102.0322; BLACK STAR NEW STAR ;Cuma
JD0104;120.01.102.0311;SHUHRAT KUMUSH MARKET MCHJ;Cuma
JD0104;120.01.104.0546;VN PREMIUM SHOP;Cuma
JD0104;120.01.102.0288;JASUR JAHONGIR OMAD MCHJ;Cuma
JD0104;120.01.102.0012;XASANOV MIRYUSUF M YATT;Cuma
JD0104;120.01.102.0015;SAIDOVA RANO YATT;Cuma
JD0104;120.01.102.0017;BEHRONA OK;Cuma
JD0104;120.01.100.0015;ALBATROS AVTO TRANS MCHJ;Cuma
JD0104;120.01.102.0037;GULANDON-BIZNES (31 01) / (MEGA BEST FEMILY MCHJ);Cuma
JD0104;120.01.102.0043;SATAROVA GULNOZA X YATT;Cuma
JD0104;120.01.102.0073;DEXQONBOEVA MUXLISA YATT;Cuma
JD0104;120.01.102.0080;TILABOYEV RUSTAM A YATT;Cuma
JD0104;120.01.102.0081;ATAXANOVA NODIRA K YATT;Cuma
JD0104;120.01.102.0084;BEGMATOV KOMOLIDDIN R YATT;Cuma
JD0104;120.01.102.0105;ZARIPOVA UMIDA F YATT;Cuma
JD0104;120.01.102.0125;SHIRINA MOMINA MCHJ;Cuma
JD0104;120.01.102.0141;AXMEDXODJAYEVA GULMIRA I YATT;Cuma
JD0104;120.01.102.0048;XAYRIDINOV MUXRIDDIN J YATT;Cuma
JD0104;120.01.100.0047;SALIYEVA DILFUZA XAMIDOVNA;Cuma
JD0104;120.01.102.0310;LABI SOY SAVDO;Cuma
JD0104;120.01.102.0291;FAST FOOD COMMERSE MCHJ;Cuma
JD0104;120.01.102.0308;LA BODEGA;Cuma
JD0104;120.01.102.0195;THE FAMILY BEKTURDIEVS MCHJ;Cuma
JD0104;120.01.102.0241;DIMAX MCHJ;Cuma
JD0104;120.01.102.0325;OOO OQ QUSH QANOTLARI;Cuma
JD0104;120.01.102.0212;NUR NAVO OK;Cuma
JD0104;120.01.102.0869;FAMILY OF FIVE LEADERS MCHJ;Cuma
JD0104;120.01.102.0190;NOZIMA CLASS SAVDO MCHJ;Cuma
JD0104;120.01.102.0011;SAMATOV DILMUROD R YATT;Cuma
JD0104;120.01.102.0210;BEKZOD XABIBA OOO;Cuma
JD0104;120.01.102.0155;UMARBEK JAVOHIR SAVDO MCHJ;Cuma
JD0104;120.01.102.0921;SEVEN STORE MCHJ;Cuma
JD0104;120.01.102.0337;GUSEV VITALIY IVANOVICH;Cuma
JD0104;120.01.102.0228;SOBIROV OPTOM MARKET OK;Cuma
JD0104;120.01.102.0342;XADICHA SUMAYYA 111 MCHJ;Cuma
JD0104;120.01.102.0340;ABDURAXMANOVA ASMIRA BIZNES OK;Cuma
JD0104;120.01.102.0934;BABYLON DISTRO;Cuma
JD0104;120.01.102.0505;WEST SHOP MCHJ;Cuma
JD0104;120.01.102.0236;MAVZUNA ZUMRAD MCHJ;Cuma
JD0104;120.01.102.0198;JAMSHID-AKBAR BUSSINES;Cuma
JD0104;120.01.100.0065;NOZIMJON ASL SAVDO N1 MCHJ;Cuma
JD0104;120.01.100.0066;MIRQODIROV XAKIMJON BAXTIYOR OGLI YATT;Cuma
JD0104;120.01.102.0344;ISFANA MCHJ;Cuma
JD0104;120.01.102.0197;AFTARITET BIZNESS;Cuma
JD0104;120.01.102.0297;PULATOV XURSHID A YATT.;Cuma
JD0104;120.01.100.0032;MUSURMONOV VALIJON S YATT;Cuma
JD0104;120.01.100.0035;SOIB MOBILE;Cuma
JD0104;120.01.102.0187;COMFORTMICROBUS MCHJ;Cuma
JD0104;120.01.104.0335;OLMOSSIENNE MCHJ;Cuma
JD0104;120.01.102.0510;XURRAMOV SHAXRIYOR SHUKRILLO OGLI YATT;Cuma
JD0104;120.01.100.0064;ALFA SHEDEVR MARKET;Persembe
JD0104;120.01.100.0068;ISMAILOV ALISHER BAXTIYAROVICH YATT;Persembe
JD0104;120.01.102.0335;OSMON TALASH MARKET MCHJ;Cuma
JD0104;120.01.102.0355;XUSHBOQOVA DILDORA ABDULQOSIM QIZI YATT;Carsamba
JD0104;120.01.102.0356;WORTH-WHILE BUSINESS MCHJ;Carsamba
JD0104;120.01.102.0357;ABDURAHIMOV BAHODIR VOHID OGLI YATT;Pazartesi
JD0104;120.01.102.0358;OMMAGON MARKET BARAKA MCHJ;Pazartesi
JD0104;120.01.102.0359;ATOYEVA MUHAYYO JABBAROVNA YATT;Pazartesi
JD0104;120.01.102.0360;XAMIDULLAYEV KAMRONBEK NIGMATULLA OGLI YATT;Sali
JD0104;120.01.102.0361;XUDAYBERDIYEV ABBOS TOYIR OGLI YATT;Carsamba
JD0104;120.01.102.0362;ASADBEK ORZULAR ROYOBI MCHJ;Carsamba
JD0104;120.01.102.0363;ASAD BUSINESS 111 MCHJ;Pazartesi
JD0104;120.01.102.0348;ELBEK-622 MCHJ;Cuma
JD0104;120.01.102.0349;SATTAROVA DILSHODA KARIMQULOVNA YATT;Cuma
JD0104;120.01.102.0333;MUSAFFO MCHJ;Cuma
JD0104;120.01.102.0350;XUDAYBERGANOV JASUR ERKINOVICH YATT;Cuma
JD0104;120.01.102.0351;ALFA TEXNO GROUP MCHJ;Persembe
JD0104;120.01.102.0352;MFR FAYZ MCHJ;Persembe
JD0104;120.01.102.0353;MMM SHUKUR OK;Pazartesi
JD0104;120.01.102.0354;TOGAYMURODOV JALOLIDDIN RUSTAM OGLI YATT;Pazartesi
JD0104;120.01.102.0513;SAGDULLAYEV BAXTIYAR SHAVKATOVICH YATT;Cuma
JD0104;120.01.103.0090;SAMERA SSS MCHJ;Carsamba
JD0104;120.01.102.0329;METALL AND WOOD CROUP MCHJ;Carsamba
JD0104;120.01.102.0347;KAMALOVA SHARAFAT KUDIYAROVNA;Persembe
JD0104;120.01.100.0067;FASIL MARKET OK;Persembe
JD0104;120.01.102.0301;AVAZBAYEVA GULASAR R YATT;Pazartesi
JD0104;120.01.102.0230;ABDUMUSLIM YUSUF OK;Carsamba
JD0104;120.01.102.0443;ZAPRETNIY PLOD;Cuma
JD0104;120.01.110.1074;RUBLYOVKA CITY MCHJ (YUNUS);Pazartesi
JD0104;120.01.110.1074;RUBLYOVKA CITY MCHJ (YUNUS);Sali
JD0104;120.01.110.1074;RUBLYOVKA CITY MCHJ (YUNUS);Carsamba
JD0104;120.01.110.1074;RUBLYOVKA CITY MCHJ (YUNUS);Persembe
JD0104;120.01.110.1074;RUBLYOVKA CITY MCHJ (YUNUS);Cuma
JD0104;120.01.102.0933;ABDURAZAKOVA SHOIRA RAVSHANOVNA;Pazartesi
JD0104;120.01.102.0933;ABDURAZAKOVA SHOIRA RAVSHANOVNA;Sali
JD0104;120.01.102.0933;ABDURAZAKOVA SHOIRA RAVSHANOVNA;Carsamba
JD0104;120.01.102.0933;ABDURAZAKOVA SHOIRA RAVSHANOVNA;Persembe
JD0104;120.01.102.0933;ABDURAZAKOVA SHOIRA RAVSHANOVNA;Cuma
JD0104;120.01.102.0622;BAYMATOV AXADJAN A YATT;Pazartesi
JD0104;120.01.102.0622;BAYMATOV AXADJAN A YATT;Sali
JD0104;120.01.102.0622;BAYMATOV AXADJAN A YATT;Carsamba
JD0104;120.01.102.0622;BAYMATOV AXADJAN A YATT;Persembe
JD0104;120.01.102.0622;BAYMATOV AXADJAN A YATT;Cuma
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Pazartesi
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Pazartesi
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Sali
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Sali
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Carsamba
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Carsamba
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Persembe
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Persembe
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Cuma
JD0104;120.01.102.0690;KURGANBAYEV AVAZ DJ YATT;Cuma
JD0104;120.01.102.0869;FAMILY OF FIVE LEADERS MCHJ;Pazartesi
JD0104;120.01.102.0869;FAMILY OF FIVE LEADERS MCHJ;Sali
JD0104;120.01.102.0869;FAMILY OF FIVE LEADERS MCHJ;Carsamba
JD0104;120.01.102.0869;FAMILY OF FIVE LEADERS MCHJ;Persembe
JD0104;120.01.102.0869;FAMILY OF FIVE LEADERS MCHJ;Cuma
JD0104;120.01.110.1088;BAXROM HOLDING;Pazartesi
JD0104;120.01.110.1088;BAXROM HOLDING;Sali
JD0104;120.01.110.1088;BAXROM HOLDING;Carsamba
JD0104;120.01.110.1088;BAXROM HOLDING;Persembe
JD0104;120.01.110.1088;BAXROM HOLDING;Cuma
JD0104;120.01.110.1088;BAXROM HOLDING;Pazartesi
JD0104;120.01.110.1088;BAXROM HOLDING;Sali
JD0104;120.01.110.1088;BAXROM HOLDING;Carsamba
JD0104;120.01.110.1088;BAXROM HOLDING;Persembe
JD0104;120.01.110.1088;BAXROM HOLDING;Cuma
JD0104;120.01.108.0627;RUBLYOVKA MARKET MCHJ (RUBLYOVKA CITY (M.U.) 16 05);Pazartesi
JD0104;120.01.108.0627;RUBLYOVKA MARKET MCHJ (RUBLYOVKA CITY (M.U.) 16 05);Sali
JD0104;120.01.108.0627;RUBLYOVKA MARKET MCHJ (RUBLYOVKA CITY (M.U.) 16 05);Carsamba
JD0104;120.01.108.0627;RUBLYOVKA MARKET MCHJ (RUBLYOVKA CITY (M.U.) 16 05);Persembe
JD0104;120.01.108.0627;RUBLYOVKA MARKET MCHJ (RUBLYOVKA CITY (M.U.) 16 05);Cuma
JD0104;120.01.102.0480;BILOL IFORA MARKET;Pazartesi
JD0104;120.01.102.0486;BARAKA NURINISO;Cuma
JD0104;120.01.102.0975;KAMALOVA SHAXNOZA KUDIYAROVNA YATT;Persembe
JD0104;120.01.102.0976;MUSTAFAYEVA SOXIBA ABDISALOM QIZI YATT;Pazartesi
JD0104;120.01.102.0977;TOQMIRZAYEVA MARHABO SHUKURBOYEVNA YATT;Pazartesi
JD0104;120.01.105.0759;FAYZ SUPER OPTOM MCHJ;Cuma
JD0104;120.01.109.0115;INSAR MIX TRADE;Carsamba
JD0104;120.01.109.0115;INSAR MIX TRADE;Cuma
JD0104;120.01.102.0380;MAXMADALIYEV ASADBEK UMIDBEK OGLI;Pazartesi
JD0104;120.01.102.0380;MAXMADALIYEV ASADBEK UMIDBEK OGLI;Sali
JD0104;120.01.102.0380;MAXMADALIYEV ASADBEK UMIDBEK OGLI;Carsamba
JD0104;120.01.102.0380;MAXMADALIYEV ASADBEK UMIDBEK OGLI;Persembe
JD0104;120.01.102.0380;MAXMADALIYEV ASADBEK UMIDBEK OGLI;Cuma
JD0104;120.01.102.0217;1DEALTRADE MCHJ;Carsamba
JD0104;120.01.102.0981;STORY FOOD BUSINESS PLUS MCHJ;
JD0104;120.01.102.0982;JORAYEV AHROR RUSTAM OGLI YATT;Carsamba
JD0104;120.01.102.0916;BAHOROY BIZNES OK;Pazartesi
JD0104;120.01.109.0410;OMMOGON MCHJ;Carsamba
JD0104;120.01.102.0532;SHAXRIKESH LIDER;Pazartesi
JD0104;120.01.102.0889;NABIYEV JALOLIDDIN ISTATOVICH YATT;Pazartesi
JD0104;120.01.102.0534;DONITA PRO;Sali
JD0104;120.01.102.0442;ZAUR TRADE MCHJ;Persembe
JD0104;120.01.110.0371;KAMOLAT OBOD MCHJ;Pazartesi
JD0104;120.01.102.0216;SAS BARAKALI MARKET MCHJ;Carsamba
JD0104;120.01.101.0642;GOLIB OTA BARAKA MARKET MCHJ;Pazartesi
JD0104;120.01.102.0538;OTKIROVA SOADAT CHORI QIZI;Pazartesi
JD0104;120.01.102.0991;ABDULVORIS 1;Carsamba
JD0104;120.01.102.0992;SAMIKOM;Carsamba
JD0104;120.01.102.0539;OCHILOVA MOMAGUL MUXAMMEDOVNA;Carsamba
JD0104;120.01.102.0894;BARNO ONA MEHRI XK;Pazartesi
JD0104;120.01.102.0541;XAKIMOV GANISHER ALISHER OGLI;Pazartesi
JD0104;120.01.102.0542;TINKOFF TRADE;Pazartesi
JD0104;120.01.102.0543;MAYLIYEV MUXTOR TAYTLAKOVICH;Pazartesi
JD0104;120.01.102.0544;IBROXIM MAXMUDJONOV ULUGBEK OGLI;Persembe
JD0104;120.01.102.0545;NEW SHAHRI KESH MARKET;Cuma
JD0104;120.01.102.0548;SHODIYEVA SHOIRA URINBOYEVNA;Pazartesi
